username,grade,review,w_name,bottler,age,w_type,vint,subtype,abv,region,price,avaib,url
Ries,b,n: fuller rich nose; full vanilla caramels vanilla wafers dried red fruit and milk chocolate bar. t: quite malty with a nice density to this. Doesn't stray too far from young sherry cask influence and vanilla oak char. Has an all-spice and dried figs & strawberry middle that gets even dryer in the brown sugar and vanilla caramel finish. End is a dark chocolate covered raisins. This is a nice everyday sipper; barely semi-sweet but a great value. [B solid] ,Aberlour 12 Year Old Non Chill-filtered,Aberlour,12 yrs,Scotch,N/A,Single Malt,48,Speyside,50,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3365/Aberlour-12-Year-Old-Non-Chill-filtered
Andy,bminus,n:  Gym socks across the room p:  Wierd.  Great mouthfeel.  Sweet and musty.  Tweed finish. ,Aberlour 12 Year Old Non Chill-filtered,Aberlour,12 yrs,Scotch,N/A,Single Malt,48,Speyside,50,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3365/Aberlour-12-Year-Old-Non-Chill-filtered
Andy,bplus,p: Candied plums and mint.  The batches are of course very similar.  I'd put this one in the top 25.  Good batch. ,Aberlour A'bunadh Batch 46,OB,N/A,Scotch,N/A,Single Malt,60.4,Highland,65,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3692/Aberlour-Abunadh-Batch-46
Fuji,bminus,Semi sweet chocolate and red berries.  I get more sherry aspects on the palate alongside nutty notes.,Aberlour A'bunadh Batch 46,OB,N/A,Scotch,N/A,Single Malt,60.4,Highland,65,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3692/Aberlour-Abunadh-Batch-46
Fuji,b,N: Ceral oats christmas cinnamon raisin raspberry and sour plumP: Sweet yet tangy sherry fruitF: Lingering sour cherry There are flashes of tired sherry notes on the nose and finish.  But it doesnt detract from the enjoyment. ,Aberlour A'bunadh Batch 47,OB,N/A,Scotch,N/A,Single Malt,60.7,Speyside,65,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3180/Aberlour-Abunadh-Batch-47
Andy,b,n:  Cherry Kirsch in a metal thermos. p:  Dipping a cedar rod in sherry and sucking out the juice.  A bit heavier on the black pepper and light on the sweetness than usual but still a solid sherry bomb as usual.,Aberlour A'bunadh Batch 47,OB,N/A,Scotch,N/A,Single Malt,60.7,Speyside,65,Wide,http://www.lawhiskeysociety.com/whiskey-profile/3180/Aberlour-Abunadh-Batch-47
Andy,b,n:  Plum pie whipped cream p:  Hot and Christmas spicy.   Semi-sweet and finish goes a bit fast as compared to other A'bunadhs.  Add a little water to this one. Nicer mouthfeel with the water.  All in all not bad but I'd choose other batches over this. ,Aberlour A'bunadh Batch 50,OB,N/A,Scotch,N/A,Single Malt,59.6,Highland,65,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3711/Aberlour-Abunadh-Batch-50
Ries,b,Typical nose of this release with more tobacco leaf and a good amount of Tahitian vanilla. Inviting aroma.    Typical dark chocolate and raspberry jam with a middle that's dry and not very sweet/fruity. The finish is rather nice with black cherry cordials and the dry tobacco. Enjoyable robust whisky but not as full-flavoured and fruity as previous releases.  [B/B-],Aberlour A'bunadh Batch 50,OB,N/A,Scotch,N/A,Single Malt,59.6,Highland,65,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3711/Aberlour-Abunadh-Batch-50
Andy,b,n:  Toasted oats and rose petals p:  Cheerios.  Hint of varnish.  Light and quaffable. ,Amrut Rye,OB,5 yrs,World,N/A,Indian,50,,180,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/4034/Amrut-Rye
Sku,cminus,Nose: Grainy with vanilla notes.Palate: Raw and grainy much like an American craft whiskey some malty notes.Finish: young light grain whiskey. This stuff is pretty bad. ,Amrut Rye,OB,5 yrs,World,N/A,Indian,50,,180,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/4034/Amrut-Rye
Andy,c,n:  Bland and blendy.  Mostly just alkeehol. p:  Faint peaches and alcohol.  Really not a lot of cask activity on this.  Imagine a decent blend.,anCnoc 16,OB,16 yrs,Scotch,N/A,Single Malt,46,Highland,70,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3332/anCnoc-16
Fuji,cminus,Fresh green apple and melted butter. Neutral on the palate with some fruit sweetness on the short finish. ,anCnoc 16,OB,16 yrs,Scotch,N/A,Single Malt,46,Highland,70,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3332/anCnoc-16
Andy,cplus,n:  Caramel.  Makeup. p:  Short of a bland and bitter sherry.  Toffey.  This one needs to be sweeter.  ,Archives Speyside Blended Malt,Whiskybase,N/A,Scotch,2001,Vatted Malt,44.7,Speyside,70,Overseas Specialty,http://www.lawhiskeysociety.com/whiskey-profile/3640/Archives-Speyside-Blended-Malt
Andy,b,n:  Great.  Fresh asphalt p:  Quick smack of ashes then flashes out.  Mt. St. Helen's in 1.5 seconds.  Woodfinish finish takes over from there.  Fun and focused. B/B+ ,Ardbeg 1992 Sovereign (for k&l),Sovereign,21 yrs,Scotch,1992,Single Malt,49.6,Islay,350,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3287/Ardbeg-1992-Sovereign-(for-k-and-l)
Fuji,bminus,N: Coastal salty notes mixed with fatty charred meats and peat. Citrus squeezed over oysters and lingering ash. P: Slow start with peat and oil attacking toward mid palate. Medium finish with white pepper and smoke. Aggressively full flavored peat but it doesn't have much depth. ,Ardbeg 1992 Sovereign (for k&l),Sovereign,21 yrs,Scotch,1992,Single Malt,49.6,Islay,350,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3287/Ardbeg-1992-Sovereign-(for-k-and-l)
Andy,bplus,n:  30% Gallileo 70% Ardbog.  You get that decaying wood funk with just a bit of dried apricots  p:  Thin mouthfeel.  Gunpowder and wintergreen.  Really sticks in the finish. B/B+ ,Ardbeg Dark Cove,OB,N/A,Scotch,N/A,Single Malt,46.5,Islay,120,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3810/Ardbeg-Dark-Cove
Ries,bminus,n: great! Salt smoke dark fruit full of salted plums (like ume) with a white frosting sweetness. Very maritime and briney. t: salt dill brine with some typical Ardbeg pitch tar & BBQ but thin in the mouthfeel and fades to smoked paper. It's very light and I am surprised that this is 46%; feels like less than 40% at best. Match smoke light cream and movie popcorn butter. Fruity vanilla and apricots with a slight dusting of cocoa in middle. Floral and soft sweetness in a new leather finish.  [B-/C+],Ardbeg Kildalton 2014 Release,Ardbeg,NAS yrs,Scotch,2014,Single Malt,46,Islay,205,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3292/Ardbeg-Kildalton-2014-Release
Andy,b,n:  nice and briney.  saltwater taffey.  Very maritime. p:  Less sweet and intense than the nose suggests.  White pepper and salt in a very straightforward way. ,Ardbeg Kildalton 2014 Release,Ardbeg,NAS yrs,Scotch,2014,Single Malt,46,Islay,205,Specialty Stores,http://www.lawhiskeysociety.com/whiskey-profile/3292/Ardbeg-Kildalton-2014-Release
Ries,b,n: very vanilla and oaky. Full of sea brine and a weird mix of pickled meat and spice. This is subdued and pleasant with a hint of red fruit and toffee. t: follows nose with the briney/pickle quality. Has a burnt pumpernickle toast quality with lots of butter that is nice but the mouthfeel is thin. BBQ meat scalded strawberries and some sea salt in middle. Finish is burnt paper smoke hint of green citrus and vanilla coffee creamer. This isn't a knock-out punch but it is nicely balanced between the fruity side and a young vanilla profile.  [B/B-] ,Ardbeg Perpetuum,Ardbeg,N/A,Scotch,2015,Single Malt,47.4,Islay,100,Better Stores,http://www.lawhiskeysociety.com/whiskey-profile/3510/Ardbeg-Perpetuum
