whiskey,url,age,bottler,price,average_rating,personal_rating
Aberlour 12 Year Old Non Chill-filtered,http://www.lawhiskeysociety.com/whiskey-profile/3365/Aberlour-12-Year-Old-Non-Chill-filtered,12 yrs,Aberlour,$50 ,B,B-
Aberlour A'bunadh Batch 46,http://www.lawhiskeysociety.com/whiskey-profile/3692/Aberlour-Abunadh-Batch-46,N/A,OB,$65 ,B,B+
Aberlour A'bunadh Batch 47,http://www.lawhiskeysociety.com/whiskey-profile/3180/Aberlour-Abunadh-Batch-47,N/A,OB,$65 ,B,B
Aberlour A'bunadh Batch 50,http://www.lawhiskeysociety.com/whiskey-profile/3711/Aberlour-Abunadh-Batch-50,N/A,OB,$65 ,B,B
Amrut Rye,http://www.lawhiskeysociety.com/whiskey-profile/4034/Amrut-Rye,5 yrs,OB,$180 ,C+,B
anCnoc 16,http://www.lawhiskeysociety.com/whiskey-profile/3332/anCnoc-16,16 yrs,OB,$70 ,C,C
Archives Speyside Blended Malt,http://www.lawhiskeysociety.com/whiskey-profile/3640/Archives-Speyside-Blended-Malt,N/A,Whiskybase,$70 ,C+,C+
Ardbeg 1992 Sovereign (for k&l),http://www.lawhiskeysociety.com/whiskey-profile/3287/Ardbeg-1992-Sovereign-(for-k-and-l),21 yrs,Sovereign,$350 ,B,B
Ardbeg Dark Cove,http://www.lawhiskeysociety.com/whiskey-profile/3810/Ardbeg-Dark-Cove,N/A,OB,$120 ,B+,B+
Ardbeg Kildalton 2014 Release,http://www.lawhiskeysociety.com/whiskey-profile/3292/Ardbeg-Kildalton-2014-Release,NAS yrs,Ardbeg,$205 ,B,B
Ardbeg Perpetuum,http://www.lawhiskeysociety.com/whiskey-profile/3510/Ardbeg-Perpetuum,N/A,Ardbeg,$100 ,B-,B
Ardmore 2000 Villa Konthor,http://www.lawhiskeysociety.com/whiskey-profile/3701/Ardmore-2000-Villa-Konthor,14 yrs,Villa Konthor,$70 ,C+,C+
Arran 1996 Blackadder Raw Cask (Lochranza),http://www.lawhiskeysociety.com/whiskey-profile/3300/Arran-1996-Blackadder-Raw-Cask-(Lochranza),17 yrs,Blackadder,$170 ,C+,C+
Arran 2000 for K&L,http://www.lawhiskeysociety.com/whiskey-profile/3788/Arran-2000-for-K-and-L,15 yrs,OB,$130 ,B+,B+
Arran Lochranza Reserve,http://www.lawhiskeysociety.com/whiskey-profile/3686/Arran-Lochranza-Reserve,N/A,OB,$45 ,C,C
Bain's Cape Mountain Whisky,http://www.lawhiskeysociety.com/whiskey-profile/3855/Bains-Cape-Mountain-Whisky,N/A,OB,$30 ,C+,C+
Balblair 2001,http://www.lawhiskeysociety.com/whiskey-profile/3335/Balblair-2001,N/A,OB,$60 ,C,C+
Balcones 5th Anniversary Single Barrel,http://www.lawhiskeysociety.com/whiskey-profile/3283/Balcones-5th-Anniversary-Single-Barrel,N/A,OB,$95 ,B+,B+
Ballechin 2004 The Ultimate,http://www.lawhiskeysociety.com/whiskey-profile/3675/Ballechin-2004-The-Ultimate,11 yrs,"The Ultimate Whisky Co,",$65 ,B,B
Balmenach 1988 Signatory (for K&L),http://www.lawhiskeysociety.com/whiskey-profile/3612/Balmenach-1988-Signatory-(for-K-and-L),25 yrs,Signatory,$130 ,B+,B+
