name,url,score,ratings,Brewery,ABV,IBU
Breakfast Stout,/beer/profile/1199/11757/,4.51,"16,948",Founders Brewing Company,8.30,60
90 Minute IPA,/beer/profile/64/2093/,4.27,"15,782",Dogfish Head Craft Brewery,9.00,90
Pliny The Elder,/beer/profile/863/7971/,4.65,"14,754",Russian River Brewing Company,8.00,No IBU
Two Hearted Ale,/beer/profile/287/1093/,4.27,"14,619",Bell's Brewery - Eccentric Café & General Store,7.00,No IBU
Sculpin IPA,/beer/profile/199/29619/,4.39,"14,146",Ballast Point Brewing Company,7.00,No IBU
Heady Topper,/beer/profile/46317/16814/,4.72,"13,949",The Alchemist Brewery and Visitors Center,8.00,75
Hopslam Ale,/beer/profile/287/17112/,4.46,"13,353",Bell's Brewery - Eccentric Café & General Store,10.00,No IBU
KBS (Kentucky Breakfast Stout),/beer/profile/1199/19960/,4.61,"12,935",Founders Brewing Company,11.80,No IBU
Bourbon County Brand Stout,/beer/profile/1146/10672/,4.6,"12,564",Goose Island Beer Co.,14.10,60
Old Rasputin,/beer/profile/112/412/,4.3,"12,420",North Coast Brewing Co.,9.00,No IBU
60 Minute IPA,/beer/profile/64/6108/,4.08,"11,588",Dogfish Head Craft Brewery,6.00,60
Sierra Nevada Pale Ale,/beer/profile/140/276/,4.03,"11,486",Sierra Nevada Brewing Co.,5.60,37
IPA,/beer/profile/147/88/,4.21,"11,178",Stone Brewing,6.90,No IBU
Torpedo Extra IPA,/beer/profile/140/30420/,4.15,"11,120",Sierra Nevada Brewing Co.,7.20,No IBU
Enjoy By IPA,/beer/profile/147/84596/,4.42,"10,914",Stone Brewing,9.40,No IBU
Arrogant Bastard Ale,/beer/profile/43153/92/,4.15,"10,731",Arrogant Brewing,7.20,No IBU
Celebration Fresh Hop IPA,/beer/profile/140/1904/,4.15,"10,399",Sierra Nevada Brewing Co.,6.80,No IBU
Zombie Dust,/beer/profile/26/64228/,4.59,"10,352",3 Floyds Brewing Co.,6.20,60
Lagunitas Sucks (Brown Shugga Substitute Ale),/beer/profile/220/74986/,4.32,"10,349",Lagunitas Brewing Company,7.85,No IBU
La Fin Du Monde,/beer/profile/22/34/,4.32,"10,196",Unibroue,9.00,No IBU
